2019-09-27 12:03:48.345 | SUCCESS  | __main__:main:85 - RESP: success
2019-09-27 12:03:49.148 | INFO     | __main__:main:172 - Stock market cap percent
class StockMarketCapPercent { Sort=30, Code=1101, Name=台泥, Percent=0.6609% }
class StockMarketCapPercent { Sort=39, Code=1102, Name=亞泥, Percent=0.4546% }
class StockMarketCapPercent { Sort=281, Code=1103, Name=嘉泥, Percent=0.0384% }
class StockMarketCapPercent { Sort=280, Code=1104, Name=環泥, Percent=0.0386% }
class StockMarketCapPercent { Sort=672, Code=1108, Name=幸福, Percent=0.0086% }
class StockMarketCapPercent { Sort=491, Code=1109, Name=信大, Percent=0.0176% }
class StockMarketCapPercent { Sort=351, Code=1110, Name=東泥, Percent=0.0297% }
class StockMarketCapPercent { Sort=264, Code=1201, Name=味全, Percent=0.0415% }
class StockMarketCapPercent { Sort=449, Code=1203, Name=味王, Percent=0.0203% }
class StockMarketCapPercent { Sort=131, Code=1210, Name=大成, Percent=0.0960% }
class StockMarketCapPercent { Sort=207, Code=1215, Name=卜蜂, Percent=0.0582% }
class StockMarketCapPercent { Sort=12, Code=1216, Name=統一, Percent=1.3688% }
class StockMarketCapPercent { Sort=605, Code=1217, Name=愛之味, Percent=0.0108% }
class StockMarketCapPercent { Sort=344, Code=1218, Name=泰山, Percent=0.0303% }
class StockMarketCapPercent { Sort=480, Code=1219, Name=福壽, Percent=0.0182% }
class StockMarketCapPercent { Sort=781, Code=1220, Name=台榮, Percent=0.0055% }
class StockMarketCapPercent { Sort=302, Code=1225, Name=福懋油, Percent=0.0348% }
class StockMarketCapPercent { Sort=84, Code=1227, Name=佳格, Percent=0.1790% }
class StockMarketCapPercent { Sort=111, Code=1229, Name=聯華, Percent=0.1174% }
class StockMarketCapPercent { Sort=401, Code=1231, Name=聯華食, Percent=0.0240% }
class StockMarketCapPercent { Sort=198, Code=1232, Name=大統益, Percent=0.0611% }
class StockMarketCapPercent { Sort=603, Code=1233, Name=天仁, Percent=0.0110% }
class StockMarketCapPercent { Sort=272, Code=1234, Name=黑松, Percent=0.0396% }
class StockMarketCapPercent { Sort=696, Code=1235, Name=興泰, Percent=0.0079% }
class StockMarketCapPercent { Sort=820, Code=1236, Name=宏亞, Percent=0.0044% }
class StockMarketCapPercent { Sort=434, Code=1256, Name=鮮活果汁-KY, Percent=0.0213% }
class StockMarketCapPercent { Sort=448, Code=1262, Name=綠悅-KY, Percent=0.0203% }
class StockMarketCapPercent { Sort=5, Code=1301, Name=台塑, Percent=1.8839% }
class StockMarketCapPercent { Sort=7, Code=1303, Name=南亞, Percent=1.7160% }
class StockMarketCapPercent { Sort=241, Code=1304, Name=台聚, Percent=0.0473% }
class StockMarketCapPercent { Sort=335, Code=1305, Name=華夏, Percent=0.0314% }
class StockMarketCapPercent { Sort=355, Code=1307, Name=三芳, Percent=0.0289% }
class StockMarketCapPercent { Sort=374, Code=1308, Name=亞聚, Percent=0.0266% }
class StockMarketCapPercent { Sort=596, Code=1309, Name=台達化, Percent=0.0113% }
class StockMarketCapPercent { Sort=294, Code=1310, Name=台苯, Percent=0.0359% }
class StockMarketCapPercent { Sort=227, Code=1312, Name=國喬, Percent=0.0529% }
class StockMarketCapPercent { Sort=260, Code=1313, Name=聯成, Percent=0.0427% }
class StockMarketCapPercent { Sort=147, Code=1314, Name=中石化, Percent=0.0885% }
class StockMarketCapPercent { Sort=461, Code=1315, Name=達新, Percent=0.0193% }
class StockMarketCapPercent { Sort=735, Code=1316, Name=上曜, Percent=0.0068% }
class StockMarketCapPercent { Sort=150, Code=1319, Name=東陽, Percent=0.0845% }
class StockMarketCapPercent { Sort=416, Code=1321, Name=大洋, Percent=0.0225% }
class StockMarketCapPercent { Sort=642, Code=1323, Name=永裕, Percent=0.0096% }
class StockMarketCapPercent { Sort=885, Code=1324, Name=地球, Percent=0.0023% }
class StockMarketCapPercent { Sort=827, Code=1325, Name=恆大, Percent=0.0042% }
class StockMarketCapPercent { Sort=9, Code=1326, Name=台化, Percent=1.6240% }
class StockMarketCapPercent { Sort=802, Code=1337, Name=再生-KY, Percent=0.0050% }
class StockMarketCapPercent { Sort=486, Code=1338, Name=廣華-KY, Percent=0.0179% }
class StockMarketCapPercent { Sort=620, Code=1339, Name=昭輝, Percent=0.0103% }
class StockMarketCapPercent { Sort=712, Code=1340, Name=勝悅-KY, Percent=0.0075% }
class StockMarketCapPercent { Sort=652, Code=1341, Name=富林-KY, Percent=0.0091% }
class StockMarketCapPercent { Sort=36, Code=1402, Name=遠東新, Percent=0.4798% }
class StockMarketCapPercent { Sort=205, Code=1409, Name=新纖, Percent=0.0593% }
class StockMarketCapPercent { Sort=763, Code=1410, Name=南染, Percent=0.0059% }
class StockMarketCapPercent { Sort=835, Code=1413, Name=宏洲, Percent=0.0039% }
class StockMarketCapPercent { Sort=808, Code=1414, Name=東和, Percent=0.0047% }
class StockMarketCapPercent { Sort=683, Code=1416, Name=廣豐, Percent=0.0082% }
class StockMarketCapPercent { Sort=278, Code=1419, Name=新紡, Percent=0.0387% }
class StockMarketCapPercent { Sort=813, Code=1423, Name=利華, Percent=0.0046% }
class StockMarketCapPercent { Sort=846, Code=1432, Name=大魯閣, Percent=0.0037% }
class StockMarketCapPercent { Sort=83, Code=1434, Name=福懋, Percent=0.1804% }
class StockMarketCapPercent { Sort=877, Code=1435, Name=中福, Percent=0.0025% }
class StockMarketCapPercent { Sort=606, Code=1436, Name=華友聯, Percent=0.0108% }
class StockMarketCapPercent { Sort=539, Code=1437, Name=勤益控, Percent=0.0146% }
class StockMarketCapPercent { Sort=828, Code=1438, Name=裕豐, Percent=0.0041% }
class StockMarketCapPercent { Sort=680, Code=1439, Name=中和, Percent=0.0084% }
class StockMarketCapPercent { Sort=202, Code=1440, Name=南紡, Percent=0.0599% }
class StockMarketCapPercent { Sort=861, Code=1441, Name=大東, Percent=0.0031% }
class StockMarketCapPercent { Sort=529, Code=1442, Name=名軒, Percent=0.0155% }
class StockMarketCapPercent { Sort=829, Code=1443, Name=立益, Percent=0.0041% }
class StockMarketCapPercent { Sort=368, Code=1444, Name=力麗, Percent=0.0271% }
class StockMarketCapPercent { Sort=865, Code=1445, Name=大宇, Percent=0.0030% }
class StockMarketCapPercent { Sort=555, Code=1446, Name=宏和, Percent=0.0133% }
class StockMarketCapPercent { Sort=453, Code=1447, Name=力鵬, Percent=0.0200% }
class StockMarketCapPercent { Sort=897, Code=1449, Name=佳和, Percent=0.0018% }
class StockMarketCapPercent { Sort=540, Code=1451, Name=年興, Percent=0.0144% }
class StockMarketCapPercent { Sort=705, Code=1452, Name=宏益, Percent=0.0076% }
class StockMarketCapPercent { Sort=875, Code=1453, Name=大將, Percent=0.0025% }
class StockMarketCapPercent { Sort=856, Code=1454, Name=台富, Percent=0.0034% }
class StockMarketCapPercent { Sort=511, Code=1455, Name=集盛, Percent=0.0164% }
class StockMarketCapPercent { Sort=876, Code=1456, Name=怡華, Percent=0.0025% }
class StockMarketCapPercent { Sort=563, Code=1457, Name=宜進, Percent=0.0129% }
class StockMarketCapPercent { Sort=697, Code=1459, Name=聯發, Percent=0.0079% }
class StockMarketCapPercent { Sort=512, Code=1460, Name=宏遠, Percent=0.0162% }
class StockMarketCapPercent { Sort=722, Code=1463, Name=強盛, Percent=0.0072% }
class StockMarketCapPercent { Sort=365, Code=1464, Name=得力, Percent=0.0278% }
class StockMarketCapPercent { Sort=810, Code=1465, Name=偉全, Percent=0.0046% }
class StockMarketCapPercent { Sort=868, Code=1466, Name=聚隆, Percent=0.0029% }
class StockMarketCapPercent { Sort=809, Code=1467, Name=南緯, Percent=0.0047% }
class StockMarketCapPercent { Sort=798, Code=1468, Name=昶和, Percent=0.0051% }
class StockMarketCapPercent { Sort=754, Code=1470, Name=大統新創, Percent=0.0061% }
class StockMarketCapPercent { Sort=898, Code=1471, Name=首利, Percent=0.0018% }
class StockMarketCapPercent { Sort=811, Code=1472, Name=三洋紡, Percent=0.0046% }
class StockMarketCapPercent { Sort=573, Code=1473, Name=台南, Percent=0.0124% }
class StockMarketCapPercent { Sort=845, Code=1474, Name=弘裕, Percent=0.0037% }
class StockMarketCapPercent { Sort=51, Code=1476, Name=儒鴻, Percent=0.3313% }
class StockMarketCapPercent { Sort=103, Code=1477, Name=聚陽, Percent=0.1279% }
class StockMarketCapPercent { Sort=175, Code=1503, Name=士電, Percent=0.0700% }
class StockMarketCapPercent { Sort=91, Code=1504, Name=東元, Percent=0.1541% }
class StockMarketCapPercent { Sort=761, Code=1506, Name=正道, Percent=0.0059% }
class StockMarketCapPercent { Sort=151, Code=1507, Name=永大, Percent=0.0839% }
class StockMarketCapPercent { Sort=370, Code=1513, Name=中興電, Percent=0.0267% }
class StockMarketCapPercent { Sort=614, Code=1514, Name=亞力, Percent=0.0106% }
class StockMarketCapPercent { Sort=234, Code=1515, Name=力山, Percent=0.0503% }
class StockMarketCapPercent { Sort=901, Code=1516, Name=川飛, Percent=0.0016% }
class StockMarketCapPercent { Sort=739, Code=1517, Name=利奇, Percent=0.0067% }
class StockMarketCapPercent { Sort=463, Code=1519, Name=華城, Percent=0.0191% }
class StockMarketCapPercent { Sort=533, Code=1521, Name=大億, Percent=0.0152% }
class StockMarketCapPercent { Sort=350, Code=1522, Name=堤維西, Percent=0.0298% }
class StockMarketCapPercent { Sort=779, Code=1524, Name=耿鼎, Percent=0.0056% }
class StockMarketCapPercent { Sort=562, Code=1525, Name=江申, Percent=0.0129% }
class StockMarketCapPercent { Sort=778, Code=1526, Name=日馳, Percent=0.0056% }
class StockMarketCapPercent { Sort=424, Code=1527, Name=鑽全, Percent=0.0219% }
class StockMarketCapPercent { Sort=762, Code=1528, Name=恩德, Percent=0.0059% }
class StockMarketCapPercent { Sort=812, Code=1529, Name=樂士, Percent=0.0046% }
class StockMarketCapPercent { Sort=678, Code=1530, Name=亞崴, Percent=0.0085% }
class StockMarketCapPercent { Sort=655, Code=1531, Name=高林股, Percent=0.0089% }
class StockMarketCapPercent { Sort=289, Code=1532, Name=勤美, Percent=0.0367% }
class StockMarketCapPercent { Sort=586, Code=1533, Name=車王電, Percent=0.0116% }
class StockMarketCapPercent { Sort=568, Code=1535, Name=中宇, Percent=0.0126% }
class StockMarketCapPercent { Sort=139, Code=1536, Name=和大, Percent=0.0930% }
class StockMarketCapPercent { Sort=282, Code=1537, Name=廣隆, Percent=0.0383% }
class StockMarketCapPercent { Sort=814, Code=1539, Name=巨庭, Percent=0.0045% }
class StockMarketCapPercent { Sort=789, Code=1540, Name=喬福, Percent=0.0053% }
class StockMarketCapPercent { Sort=671, Code=1541, Name=錩泰, Percent=0.0086% }
class StockMarketCapPercent { Sort=389, Code=1558, Name=伸興, Percent=0.0252% }
class StockMarketCapPercent { Sort=390, Code=1560, Name=中砂, Percent=0.0251% }
class StockMarketCapPercent { Sort=723, Code=1568, Name=倉佑, Percent=0.0072% }
class StockMarketCapPercent { Sort=341, Code=1582, Name=信錦, Percent=0.0305% }
class StockMarketCapPercent { Sort=462, Code=1583, Name=程泰, Percent=0.0191% }
class StockMarketCapPercent { Sort=842, Code=1587, Name=吉茂, Percent=0.0038% }
class StockMarketCapPercent { Sort=513, Code=1589, Name=永冠-KY, Percent=0.0162% }
class StockMarketCapPercent { Sort=77, Code=1590, Name=亞德客-KY, Percent=0.1923% }
class StockMarketCapPercent { Sort=738, Code=1592, Name=英瑞-KY, Percent=0.0067% }
class StockMarketCapPercent { Sort=577, Code=1598, Name=岱宇, Percent=0.0121% }
class StockMarketCapPercent { Sort=432, Code=1604, Name=聲寶, Percent=0.0214% }
class StockMarketCapPercent { Sort=93, Code=1605, Name=華新, Percent=0.1443% }
class StockMarketCapPercent { Sort=455, Code=1608, Name=華榮, Percent=0.0195% }
class StockMarketCapPercent { Sort=468, Code=1609, Name=大亞, Percent=0.0187% }
class StockMarketCapPercent { Sort=595, Code=1611, Name=中電, Percent=0.0113% }
class StockMarketCapPercent { Sort=627, Code=1612, Name=宏泰, Percent=0.0101% }
class StockMarketCapPercent { Sort=403, Code=1614, Name=三洋電, Percent=0.0236% }
class StockMarketCapPercent { Sort=770, Code=1615, Name=大山, Percent=0.0058% }
class StockMarketCapPercent { Sort=872, Code=1616, Name=億泰, Percent=0.0027% }
class StockMarketCapPercent { Sort=780, Code=1617, Name=榮星, Percent=0.0055% }
class StockMarketCapPercent { Sort=753, Code=1618, Name=合機, Percent=0.0062% }
class StockMarketCapPercent { Sort=558, Code=1626, Name=艾美特-KY, Percent=0.0131% }
class StockMarketCapPercent { Sort=495, Code=1701, Name=中化, Percent=0.0174% }
class StockMarketCapPercent { Sort=242, Code=1702, Name=南僑, Percent=0.0473% }
class StockMarketCapPercent { Sort=154, Code=1707, Name=葡萄王, Percent=0.0827% }
class StockMarketCapPercent { Sort=504, Code=1708, Name=東鹼, Percent=0.0171% }
class StockMarketCapPercent { Sort=452, Code=1709, Name=和益, Percent=0.0201% }
class StockMarketCapPercent { Sort=204, Code=1710, Name=東聯, Percent=0.0593% }
class StockMarketCapPercent { Sort=362, Code=1711, Name=永光, Percent=0.0280% }
class StockMarketCapPercent { Sort=395, Code=1712, Name=興農, Percent=0.0247% }
class StockMarketCapPercent { Sort=670, Code=1713, Name=國化, Percent=0.0086% }
class StockMarketCapPercent { Sort=417, Code=1714, Name=和桐, Percent=0.0224% }
class StockMarketCapPercent { Sort=130, Code=1717, Name=長興, Percent=0.0963% }
class StockMarketCapPercent { Sort=265, Code=1718, Name=中纖, Percent=0.0413% }
class StockMarketCapPercent { Sort=481, Code=1720, Name=生達, Percent=0.0181% }
class StockMarketCapPercent { Sort=759, Code=1721, Name=三晃, Percent=0.0060% }
class StockMarketCapPercent { Sort=94, Code=1722, Name=台肥, Percent=0.1399% }
class StockMarketCapPercent { Sort=135, Code=1723, Name=中碳, Percent=0.0939% }
class StockMarketCapPercent { Sort=792, Code=1724, Name=台硝, Percent=0.0052% }
class StockMarketCapPercent { Sort=687, Code=1725, Name=元禎, Percent=0.0081% }
